id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,total_of_bookings,last_review,booking_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,year,month,dayname,estimated_revenue,initial_revenue,recommended_minimum_nights,recommended_price_per_night,recommended_revenue_min_nights,extended_stay_price,recommended_revenue_extended_stay,last_minute_discount,recommended_revenue_last_minute,total_recommended_revenue
21840515,2 Bedrooms Suites at NANA&ASOK BTS (6PAXS),37749512,LuxurySuitesAsia,Khlong Toei,13.73792,100.55857,Entire home/apt,5349,2,33,2022-12-06,0.54,14,143,4,2022,12,Tuesday,5776.92,5776.92,2,6151.349999999999,6643.458,47057.82749999999,6352.8067125,5351.674499999999,577.9808459999999,13574.2455585
21845390,Family Friendly Facility with Bangkok Tour Trip,9683986,Benny,Lak Si,13.88616,100.57821,Entire home/apt,885,1,2,2022-12-08,0.05,3,270,1,2022,12,Thursday,44.25,44.25,2,973.5000000000001,97.35000000000002,7447.2750000000015,93.09093750000002,846.945,8.469450000000002,198.91038750000004
21266156,"Great location, Triple private room with A/C",83023551,Yaya,Bang Rak,13.72622,100.52091,Private room,900,1,1,2018-12-21,0.02,8,365,0,2018,12,Friday,18.0,18.0,2,990.0000000000001,39.60000000000001,7573.500000000001,37.86750000000001,861.3000000000001,3.4452000000000003,80.91270000000002
21856084,"Sweet Cozy Clean, Perfect for Couple @BTS St louis",159420966,Rajasit,Sathon,13.72001,100.52784,Entire home/apt,1590,7,12,2022-12-01,0.2,8,234,1,2022,12,Thursday,2226.0,2226.0,2,1749.0000000000002,699.6000000000001,13379.85,668.9925000000001,1521.63,60.865200000000016,1429.4577000000002
21876488,Luxurious Modern 1BR in Sukhumvit next to Nana BTS,12632327,Sukho,Vadhana,13.74301,100.55566,Entire home/apt,1700,3,10,2022-12-24,0.96,1,314,10,2022,12,Saturday,4896.0,4896.0,2,1954.9999999999998,3753.5999999999995,14955.749999999996,3589.379999999999,1700.8499999999997,326.56319999999994,7669.543199999998
21554087,ID: clean and cozy 1BR | 5* facility | 1 min BTS,149656868,Phruks,Phasi Charoen,13.71798,100.45817,Entire home/apt,1100,1,45,2022-12-23,0.72,2,169,9,2022,12,Friday,792.0,792.0,2,1210.0,1742.3999999999999,9256.5,1666.1699999999998,1052.7,151.5888,3560.1587999999997
21892849,Extra large room near Khaosan up to 6 people #3,59874191,Angela,Pom Prap Sattru Phai,13.75784,100.5079,Entire home/apt,949,1,64,2022-12-22,1.29,10,343,8,2022,12,Thursday,1224.21,1224.21,2,1043.9,2693.262,7985.835,2575.4317875,908.1930000000001,234.31379400000003,5503.0075815
21902299,Extra large room near Khaosan up to 6 people #2,59874191,Angela,Pom Prap Sattru Phai,13.75784,100.5079,Entire home/apt,858,1,212,2022-12-26,3.49,10,323,27,2022,12,Monday,2994.42,2994.42,2,943.8000000000001,6587.724000000001,7220.070000000001,6299.511075000001,821.1060000000001,573.1319880000001,13460.367063000002
21902645,Extra large room near Khaosan up to 6 people #4,59874191,Angela,Pom Prap Sattru Phai,13.75784,100.5079,Entire home/apt,949,1,186,2022-12-25,3.07,10,333,24,2022,12,Sunday,2913.43,2913.43,2,1043.9,6409.546,7985.835,6129.1283625,908.1930000000001,557.6305020000001,13096.3048645
21348281,"A2.7 Family room Nr Pratunam,Platinum,Airport Link",40479758,Skye,Ratchathewi,13.75554,100.54035,Private room,1557,2,132,2022-12-26,2.1,1,327,14,2022,12,Monday,6539.400000000001,6539.400000000001,2,1712.7,7193.34,13102.155,6878.631375000001,1490.049,625.8205800000001,14697.791955
21939571,"Opening Garden space in Bangkok No.1,Free WiFi",95537988,Keeradit,Lat Phrao,13.83423,100.62563,Entire home/apt,1300,3,68,2022-12-15,1.12,2,176,6,2022,12,Thursday,4368.0,4368.000000000001,2,1430.0000000000002,3203.2000000000007,10939.500000000002,3063.060000000001,1244.1000000000001,278.67840000000007,6544.938400000002
